t,x,y,rhf
3.120312500000001904e-02,2.170000000000000054e-03,6.050000000000000690e-04,1.034000000000000030e+00
3.125781250000002343e-02,2.170000000000000054e-03,5.525000000000000397e-04,1.034000000000000030e+00
3.131250000000002087e-02,2.170000000000000054e-03,5.000000000000000104e-04,1.034000000000000030e+00
3.136718750000001832e-02,2.170000000000000054e-03,4.474999999999999811e-04,1.034000000000000030e+00
3.142187500000002270e-02,2.170000000000000054e-03,3.949999999999999518e-04,1.034000000000000030e+00
3.147656250000002015e-02,2.170000000000000054e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.153125000000001760e-02,2.170000000000000054e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.158593750000002198e-02,2.170000000000000054e-03,2.374999999999999724e-04,1.034000000000000030e+00
3.164062500000001943e-02,2.170000000000000054e-03,1.850000000000000516e-04,1.034000000000000030e+00
3.169531250000002381e-02,2.170000000000000054e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.175000000000002126e-02,2.170000000000000054e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.250000000000002193e-02,2.279999999999999909e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.255468750000001937e-02,2.279999999999999909e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.260937500000002376e-02,2.279999999999999909e-03,1.849999999999999973e-04,1.034000000000000030e+00
3.266406250000002121e-02,2.279999999999999909e-03,2.375000000000000266e-04,1.034000000000000030e+00
3.271875000000001865e-02,2.279999999999999909e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.277343750000002304e-02,2.279999999999999909e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.282812500000002048e-02,2.279999999999999909e-03,3.950000000000000061e-04,1.034000000000000030e+00
3.288281250000002487e-02,2.279999999999999909e-03,4.474999999999999811e-04,1.034000000000000030e+00
3.293750000000002232e-02,2.279999999999999909e-03,5.000000000000000104e-04,1.034000000000000030e+00
3.299218750000001976e-02,2.279999999999999909e-03,5.525000000000000397e-04,1.034000000000000030e+00
3.304687500000002415e-02,2.279999999999999909e-03,6.050000000000000690e-04,1.034000000000000030e+00
3.310156250000002159e-02,2.279999999999999909e-03,6.574999999999999898e-04,1.034000000000000030e+00
3.315625000000001904e-02,2.279999999999999909e-03,7.100000000000000191e-04,1.034000000000000030e+00
3.321093750000002343e-02,2.279999999999999909e-03,7.625000000000000484e-04,1.034000000000000030e+00
3.326562500000002087e-02,2.279999999999999909e-03,8.149999999999999693e-04,1.034000000000000030e+00
3.332031250000002526e-02,2.279999999999999909e-03,8.674999999999999985e-04,1.034000000000000030e+00
3.337500000000002270e-02,2.279999999999999909e-03,9.200000000000000278e-04,1.034000000000000030e+00
3.412500000000002337e-02,2.390000000000000197e-03,9.200000000000000278e-04,1.034000000000000030e+00
3.417968750000002082e-02,2.390000000000000197e-03,8.674999999999999985e-04,1.034000000000000030e+00
3.423437500000002520e-02,2.390000000000000197e-03,8.149999999999999693e-04,1.034000000000000030e+00
3.428906250000002265e-02,2.390000000000000197e-03,7.625000000000000484e-04,1.034000000000000030e+00
3.434375000000002010e-02,2.390000000000000197e-03,7.100000000000000191e-04,1.034000000000000030e+00
3.439843750000002448e-02,2.390000000000000197e-03,6.574999999999999898e-04,1.034000000000000030e+00
3.445312500000002193e-02,2.390000000000000197e-03,6.050000000000000690e-04,1.034000000000000030e+00
3.450781250000002631e-02,2.390000000000000197e-03,5.525000000000000397e-04,1.034000000000000030e+00
3.456250000000002376e-02,2.390000000000000197e-03,5.000000000000000104e-04,1.034000000000000030e+00
3.461718750000002121e-02,2.390000000000000197e-03,4.474999999999999811e-04,1.034000000000000030e+00
3.467187500000002559e-02,2.390000000000000197e-03,3.949999999999999518e-04,1.034000000000000030e+00
3.472656250000002304e-02,2.390000000000000197e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.478125000000002048e-02,2.390000000000000197e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.483593750000002487e-02,2.390000000000000197e-03,2.374999999999999724e-04,1.034000000000000030e+00
3.489062500000002232e-02,2.390000000000000197e-03,1.850000000000000516e-04,1.034000000000000030e+00
3.494531250000002670e-02,2.390000000000000197e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.500000000000002415e-02,2.390000000000000197e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.575000000000002481e-02,2.500000000000000052e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.580468750000002226e-02,2.500000000000000052e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.585937500000002665e-02,2.500000000000000052e-03,1.849999999999999973e-04,1.034000000000000030e+00
3.591406250000002409e-02,2.500000000000000052e-03,2.375000000000000266e-04,1.034000000000000030e+00
3.596875000000002154e-02,2.500000000000000052e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.602343750000002592e-02,2.500000000000000052e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.607812500000002337e-02,2.500000000000000052e-03,3.950000000000000061e-04,1.034000000000000030e+00
3.613281250000002776e-02,2.500000000000000052e-03,4.474999999999999811e-04,1.034000000000000030e+00
3.618750000000002520e-02,2.500000000000000052e-03,5.000000000000000104e-04,1.034000000000000030e+00
3.624218750000002265e-02,2.500000000000000052e-03,5.525000000000000397e-04,1.034000000000000030e+00
3.629687500000002703e-02,2.500000000000000052e-03,6.050000000000000690e-04,1.034000000000000030e+00
3.635156250000002448e-02,2.500000000000000052e-03,6.574999999999999898e-04,1.034000000000000030e+00
3.640625000000002193e-02,2.500000000000000052e-03,7.100000000000000191e-04,1.034000000000000030e+00
3.646093750000002631e-02,2.500000000000000052e-03,7.625000000000000484e-04,1.034000000000000030e+00
3.651562500000002376e-02,2.500000000000000052e-03,8.149999999999999693e-04,1.034000000000000030e+00
3.657031250000002814e-02,2.500000000000000052e-03,8.674999999999999985e-04,1.034000000000000030e+00
3.662500000000002559e-02,2.500000000000000052e-03,9.200000000000000278e-04,1.034000000000000030e+00
3.737500000000002626e-02,2.609999999999999907e-03,9.200000000000000278e-04,1.034000000000000030e+00
3.742968750000002370e-02,2.609999999999999907e-03,8.674999999999999985e-04,1.034000000000000030e+00
3.748437500000002809e-02,2.609999999999999907e-03,8.149999999999999693e-04,1.034000000000000030e+00
3.753906250000002554e-02,2.609999999999999907e-03,7.625000000000000484e-04,1.034000000000000030e+00
3.759375000000002298e-02,2.609999999999999907e-03,7.100000000000000191e-04,1.034000000000000030e+00
3.764843750000002737e-02,2.609999999999999907e-03,6.574999999999999898e-04,1.034000000000000030e+00
3.770312500000002481e-02,2.609999999999999907e-03,6.050000000000000690e-04,1.034000000000000030e+00
3.775781250000002920e-02,2.609999999999999907e-03,5.525000000000000397e-04,1.034000000000000030e+00
3.781250000000002665e-02,2.609999999999999907e-03,5.000000000000000104e-04,1.034000000000000030e+00
3.786718750000002409e-02,2.609999999999999907e-03,4.474999999999999811e-04,1.034000000000000030e+00
3.792187500000002848e-02,2.609999999999999907e-03,3.949999999999999518e-04,1.034000000000000030e+00
3.797656250000002592e-02,2.609999999999999907e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.803125000000002337e-02,2.609999999999999907e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.808593750000002776e-02,2.609999999999999907e-03,2.374999999999999724e-04,1.034000000000000030e+00
3.814062500000002520e-02,2.609999999999999907e-03,1.850000000000000516e-04,1.034000000000000030e+00
3.819531250000002959e-02,2.609999999999999907e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.825000000000002703e-02,2.609999999999999907e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.900000000000002770e-02,2.720000000000000195e-03,8.000000000000000654e-05,1.034000000000000030e+00
3.905468750000002515e-02,2.720000000000000195e-03,1.325000000000000223e-04,1.034000000000000030e+00
3.910937500000002953e-02,2.720000000000000195e-03,1.849999999999999973e-04,1.034000000000000030e+00
3.916406250000002698e-02,2.720000000000000195e-03,2.375000000000000266e-04,1.034000000000000030e+00
3.921875000000002442e-02,2.720000000000000195e-03,2.900000000000000017e-04,1.034000000000000030e+00
3.927343750000002881e-02,2.720000000000000195e-03,3.425000000000000310e-04,1.034000000000000030e+00
3.932812500000002626e-02,2.720000000000000195e-03,3.950000000000000061e-04,1.034000000000000030e+00
