t,x,y,rhf
1.004218750000000354e-01,1.949999999999999910e-03,3.949999999999999518e-04,1.034000000000000030e+00
1.004765625000000329e-01,1.949999999999999910e-03,3.425000000000000310e-04,1.034000000000000030e+00
1.005312500000000303e-01,1.949999999999999910e-03,2.900000000000000017e-04,1.034000000000000030e+00
1.005859375000000278e-01,1.949999999999999910e-03,2.374999999999999724e-04,1.034000000000000030e+00
1.006406250000000391e-01,1.949999999999999910e-03,1.850000000000000516e-04,1.034000000000000030e+00
1.006953125000000365e-01,1.949999999999999910e-03,1.325000000000000223e-04,1.034000000000000030e+00
1.007500000000000340e-01,1.949999999999999910e-03,8.000000000000000654e-05,1.034000000000000030e+00
1.057500000000000384e-01,2.060000000000000199e-03,8.000000000000000654e-05,8.659999999999999920e-01
1.058046875000000359e-01,2.060000000000000199e-03,1.325000000000000223e-04,8.659999999999999920e-01
1.058593750000000333e-01,2.060000000000000199e-03,1.849999999999999973e-04,8.659999999999999920e-01
1.059140625000000446e-01,2.060000000000000199e-03,2.375000000000000266e-04,8.659999999999999920e-01
1.059687500000000421e-01,2.060000000000000199e-03,2.900000000000000017e-04,8.659999999999999920e-01
1.060234375000000395e-01,2.060000000000000199e-03,3.425000000000000310e-04,8.659999999999999920e-01
1.060781250000000370e-01,2.060000000000000199e-03,3.950000000000000061e-04,8.659999999999999920e-01
1.061328125000000344e-01,2.060000000000000199e-03,4.474999999999999811e-04,9.196738076580840415e-01
1.061875000000000319e-01,2.060000000000000199e-03,5.000000000000000104e-04,1.000000000000002442e+00
1.062421875000000432e-01,2.060000000000000199e-03,5.525000000000000397e-04,1.034000000000000030e+00
1.062968750000000406e-01,2.060000000000000199e-03,6.050000000000000690e-04,1.034000000000000030e+00
1.063515625000000381e-01,2.060000000000000199e-03,6.574999999999999898e-04,1.034000000000000030e+00
1.064062500000000355e-01,2.060000000000000199e-03,7.100000000000000191e-04,1.034000000000000030e+00
1.064609375000000330e-01,2.060000000000000199e-03,7.625000000000000484e-04,1.034000000000000030e+00
1.065156250000000443e-01,2.060000000000000199e-03,8.149999999999999693e-04,1.034000000000000030e+00
1.065703125000000417e-01,2.060000000000000199e-03,8.674999999999999985e-04,1.034000000000000030e+00
1.066250000000000392e-01,2.060000000000000199e-03,9.200000000000000278e-04,1.034000000000000030e+00
1.116250000000000436e-01,2.170000000000000054e-03,9.200000000000000278e-04,8.659999999999999920e-01
1.116796875000000411e-01,2.170000000000000054e-03,8.674999999999999985e-04,8.659999999999999920e-01
1.117343750000000385e-01,2.170000000000000054e-03,8.149999999999999693e-04,8.659999999999999920e-01
1.117890625000000498e-01,2.170000000000000054e-03,7.625000000000000484e-04,8.659999999999999920e-01
1.118437500000000473e-01,2.170000000000000054e-03,7.100000000000000191e-04,8.659999999999999920e-01
1.118984375000000447e-01,2.170000000000000054e-03,6.574999999999999898e-04,8.659999999999999920e-01
1.119531250000000422e-01,2.170000000000000054e-03,6.050000000000000690e-04,8.659999999999999920e-01
1.120078125000000396e-01,2.170000000000000054e-03,5.525000000000000397e-04,9.196738076580840415e-01
1.120625000000000371e-01,2.170000000000000054e-03,5.000000000000000104e-04,1.000000000000002442e+00
1.121171875000000484e-01,2.170000000000000054e-03,4.474999999999999811e-04,1.034000000000000030e+00
1.121718750000000459e-01,2.170000000000000054e-03,3.949999999999999518e-04,1.034000000000000030e+00
1.122265625000000433e-01,2.170000000000000054e-03,3.425000000000000310e-04,1.034000000000000030e+00
1.122812500000000407e-01,2.170000000000000054e-03,2.900000000000000017e-04,1.034000000000000030e+00
1.123359375000000382e-01,2.170000000000000054e-03,2.374999999999999724e-04,1.034000000000000030e+00
1.123906250000000495e-01,2.170000000000000054e-03,1.850000000000000516e-04,1.034000000000000030e+00
1.124453125000000470e-01,2.170000000000000054e-03,1.325000000000000223e-04,1.034000000000000030e+00
1.125000000000000444e-01,2.170000000000000054e-03,8.000000000000000654e-05,1.034000000000000030e+00
1.175000000000000488e-01,2.279999999999999909e-03,8.000000000000000654e-05,8.659999999999999920e-01
1.175546875000000463e-01,2.279999999999999909e-03,1.325000000000000223e-04,8.659999999999999920e-01
1.176093750000000437e-01,2.279999999999999909e-03,1.849999999999999973e-04,8.659999999999999920e-01
