t,x,y,rhf
1.237560763888889137e-01,1.399999999999999986e-03,3.205833333333333104e-03,9.999999999999998890e-01
1.238085937500000289e-01,1.399999999999999986e-03,3.256250000000000030e-03,9.999999999999976685e-01
1.238611111111111301e-01,1.399999999999999986e-03,3.306666666666666522e-03,1.000000000000002442e+00
1.239136284722222453e-01,1.399999999999999986e-03,3.357083333333333013e-03,1.000000000000000888e+00
1.239661458333333605e-01,1.399999999999999986e-03,3.407499999999999939e-03,9.999999999999985567e-01
1.240186631944444617e-01,1.399999999999999986e-03,3.457916666666666430e-03,1.000000000000003109e+00
1.240711805555555769e-01,1.399999999999999986e-03,3.508333333333333356e-03,1.000000000000000666e+00
1.241236979166666921e-01,1.399999999999999986e-03,3.558749999999999847e-03,9.999999999999992228e-01
1.241762152777778072e-01,1.399999999999999986e-03,3.609166666666666339e-03,9.999999999999980016e-01
1.242287326388889085e-01,1.399999999999999986e-03,3.659583333333333265e-03,1.000000000000001776e+00
1.242812500000000236e-01,1.399999999999999986e-03,3.709999999999999756e-03,1.000000000000000444e+00
1.243337673611111388e-01,1.399999999999999986e-03,3.760416666666666682e-03,9.999999999999981126e-01
1.243862847222222401e-01,1.399999999999999986e-03,3.810833333333333173e-03,1.000000000000002887e+00
1.244388020833333552e-01,1.399999999999999986e-03,3.861249999999999665e-03,1.000000000000001332e+00
1.244913194444444704e-01,1.399999999999999986e-03,3.911666666666666591e-03,9.999999999999988898e-01
1.245438368055555856e-01,1.399999999999999986e-03,3.962083333333333082e-03,9.999999999999977796e-01
1.245963541666666868e-01,1.399999999999999986e-03,4.012499999999999574e-03,1.000000000000002665e+00
1.246488715277778020e-01,1.399999999999999986e-03,4.062916666666666066e-03,1.000000000000001110e+00
1.247013888888889172e-01,1.399999999999999986e-03,4.113333333333333425e-03,9.999999999999977796e-01
1.247539062500000184e-01,1.399999999999999986e-03,4.163749999999999916e-03,1.000000000000002442e+00
1.248064236111111336e-01,1.399999999999999986e-03,4.214166666666666408e-03,1.000000000000001110e+00
1.248589409722222487e-01,1.399999999999999986e-03,4.264583333333332900e-03,9.999999999999994449e-01
1.249114583333333639e-01,1.399999999999999986e-03,4.314999999999999392e-03,9.999999999999982236e-01
1.249639756944444652e-01,1.399999999999999986e-03,4.365416666666666751e-03,1.000000000000001332e+00
1.250164930555555665e-01,1.399999999999999986e-03,4.415833333333333242e-03,1.000000000000005773e+00
1.250690104166666816e-01,1.399999999999999986e-03,4.466249999999999734e-03,1.000000000000003775e+00
1.251215277777777968e-01,1.399999999999999986e-03,4.516666666666666226e-03,1.000000000000001998e+00
1.251740451388889119e-01,1.399999999999999986e-03,4.567083333333332718e-03,1.000000000000000444e+00
1.252265625000000271e-01,1.399999999999999986e-03,4.617500000000000077e-03,9.999999999999974465e-01
1.252790798611111422e-01,1.399999999999999986e-03,4.667916666666666568e-03,9.999999999999963363e-01
1.253315972222222574e-01,1.399999999999999986e-03,4.718333333333333060e-03,9.999999999999956701e-01
1.253841145833333448e-01,1.399999999999999986e-03,4.768749999999999552e-03,1.000000000000006217e+00
1.254366319444444600e-01,1.399999999999999986e-03,4.819166666666666043e-03,1.000000000000004219e+00
1.254891493055555751e-01,1.399999999999999986e-03,4.869583333333333403e-03,1.000000000000000888e+00
1.255416666666666903e-01,1.399999999999999986e-03,4.919999999999999894e-03,9.999999999999994449e-01
1.305416666666666947e-01,1.509999999999999841e-03,4.919999999999999894e-03,6.999999999999999556e-01
1.305941840277778099e-01,1.509999999999999841e-03,4.869583333333333403e-03,6.999999999999999556e-01
1.306467013888889250e-01,1.509999999999999841e-03,4.819166666666666911e-03,6.999999999999999556e-01
1.306992187500000402e-01,1.509999999999999841e-03,4.768749999999999552e-03,6.999999999999999556e-01
1.307517361111111276e-01,1.509999999999999841e-03,4.718333333333333060e-03,6.999999999999999556e-01
1.308042534722222427e-01,1.509999999999999841e-03,4.667916666666666568e-03,6.999999999999999556e-01
1.308567708333333579e-01,1.509999999999999841e-03,4.617500000000000077e-03,6.999999999999999556e-01
1.309092881944444731e-01,1.509999999999999841e-03,4.567083333333333585e-03,6.999999999999999556e-01
1.309618055555555882e-01,1.509999999999999841e-03,4.516666666666666226e-03,6.999999999999999556e-01
1.310143229166667034e-01,1.509999999999999841e-03,4.466249999999999734e-03,7.435632909958883596e-01
1.310668402777778185e-01,1.509999999999999841e-03,4.415833333333333242e-03,7.875732272295105085e-01
1.311193576388889059e-01,1.509999999999999841e-03,4.365416666666666751e-03,8.258639978187217734e-01
1.311718750000000211e-01,1.509999999999999841e-03,4.315000000000000259e-03,8.589238067714835001e-01
1.312243923611111363e-01,1.509999999999999841e-03,4.264583333333333767e-03,8.872215495107803607e-01
1.312769097222222514e-01,1.509999999999999841e-03,4.214166666666666408e-03,9.112068128745799411e-01
1.313294270833333666e-01,1.509999999999999841e-03,4.163749999999999916e-03,9.313098751158487287e-01
1.313819444444444817e-01,1.509999999999999841e-03,4.113333333333333425e-03,9.479417059025438963e-01
1.314344618055555969e-01,1.509999999999999841e-03,4.062916666666666933e-03,9.614939663176182982e-01
1.314869791666666843e-01,1.509999999999999841e-03,4.012500000000000441e-03,9.723390088590306846e-01
1.315394965277777994e-01,1.509999999999999841e-03,3.962083333333333082e-03,9.808298774396978503e-01
1.315920138888889146e-01,1.509999999999999841e-03,3.911666666666666591e-03,9.873003073875726843e-01
1.316445312500000298e-01,1.509999999999999841e-03,3.861250000000000099e-03,9.920647254455841058e-01
1.316970486111111449e-01,1.509999999999999841e-03,3.810833333333333607e-03,9.954182497716582700e-01
1.317495659722222601e-01,1.509999999999999841e-03,3.760416666666666682e-03,9.976366899387146825e-01
1.318020833333333752e-01,1.509999999999999841e-03,3.709999999999999756e-03,9.989765469346691962e-01
1.318546006944444626e-01,1.509999999999999841e-03,3.659583333333333265e-03,9.996750131624440039e-01
1.319071180555555778e-01,1.509999999999999841e-03,3.609166666666666773e-03,9.999499724399176781e-01
1.319596354166666929e-01,1.509999999999999841e-03,3.558750000000000281e-03,1.000000000000002220e+00
1.320121527777778081e-01,1.509999999999999841e-03,3.508333333333333356e-03,9.999999999999997780e-01
1.320646701388889233e-01,1.509999999999999841e-03,3.457916666666666430e-03,9.999999999999976685e-01
1.321171875000000384e-01,1.509999999999999841e-03,3.407499999999999939e-03,9.999999999999963363e-01
1.321697048611111258e-01,1.509999999999999841e-03,3.357083333333333447e-03,1.000000000000007105e+00
1.322222222222222410e-01,1.509999999999999841e-03,3.306666666666666955e-03,1.000000000000005107e+00
1.322747395833333561e-01,1.509999999999999841e-03,3.256250000000000030e-03,1.000000000000002442e+00
1.323272569444444713e-01,1.509999999999999841e-03,3.205833333333333104e-03,1.000000000000000000e+00
1.323797743055555864e-01,1.509999999999999841e-03,3.155416666666666613e-03,9.999999999999986677e-01
1.324322916666667016e-01,1.509999999999999841e-03,3.105000000000000121e-03,9.999999999999975575e-01
1.324848090277778168e-01,1.509999999999999841e-03,3.054583333333333629e-03,9.999999999999963363e-01
1.325373263888889042e-01,1.509999999999999841e-03,3.004166666666666704e-03,1.000000000000006217e+00
1.325898437500000193e-01,1.509999999999999841e-03,2.953750000000000212e-03,1.000000000000004219e+00
1.326423611111111345e-01,1.509999999999999841e-03,2.903333333333333287e-03,1.000000000000001554e+00
1.326948784722222496e-01,1.509999999999999841e-03,2.852916666666666795e-03,1.000000000000000222e+00
1.327473958333333648e-01,1.509999999999999841e-03,2.802500000000000303e-03,9.999999999999986677e-01
1.327999131944444799e-01,1.509999999999999841e-03,2.752083333333333378e-03,9.999999999999966693e-01
1.328524305555555951e-01,1.509999999999999841e-03,2.701666666666666886e-03,9.999999999999958922e-01
1.329049479166666825e-01,1.509999999999999841e-03,2.651249999999999961e-03,1.000000000000005551e+00
1.329574652777777977e-01,1.509999999999999841e-03,2.600833333333333469e-03,1.000000000000003553e+00
1.330099826388889128e-01,1.509999999999999841e-03,2.550416666666666977e-03,1.000000000000001998e+00
1.330625000000000280e-01,1.509999999999999841e-03,2.500000000000000052e-03,9.999999999999997780e-01
1.331150173611111431e-01,1.509999999999999841e-03,2.449583333333333560e-03,9.999999999999984457e-01
1.331675347222222583e-01,1.509999999999999841e-03,2.399166666666666635e-03,9.999999999999963363e-01
1.332200520833333734e-01,1.509999999999999841e-03,2.348750000000000143e-03,9.999999999999956701e-01
1.332725694444444609e-01,1.509999999999999841e-03,2.298333333333333652e-03,1.000000000000006217e+00
1.333250868055555760e-01,1.509999999999999841e-03,2.247916666666666726e-03,1.000000000000003331e+00
1.333776041666666912e-01,1.509999999999999841e-03,2.197500000000000234e-03,1.000000000000001776e+00
1.334301215277778063e-01,1.509999999999999841e-03,2.147083333333333743e-03,1.000000000000000444e+00
1.334826388888889215e-01,1.509999999999999841e-03,2.096666666666666817e-03,9.999999999999981126e-01
1.335351562500000366e-01,1.509999999999999841e-03,2.046250000000000326e-03,9.999999999999971134e-01
1.335876736111111518e-01,1.509999999999999841e-03,1.995833333333333400e-03,9.999999999999952260e-01
1.336401909722222392e-01,1.509999999999999841e-03,1.945416666666666908e-03,1.000000000000005995e+00
1.336927083333333544e-01,1.509999999999999841e-03,1.895000000000000417e-03,1.000000000000003775e+00
1.337452256944444695e-01,1.509999999999999841e-03,1.844583333333333491e-03,1.000000000000001332e+00
1.337977430555555847e-01,1.509999999999999841e-03,1.794166666666667000e-03,1.000000000000000222e+00
1.338502604166666998e-01,1.509999999999999841e-03,1.743750000000000074e-03,9.999999999999978906e-01
1.339027777777778150e-01,1.509999999999999841e-03,1.693333333333333583e-03,9.999999999999967804e-01
1.339552951388889301e-01,1.509999999999999841e-03,1.642916666666667091e-03,9.999999999999958922e-01
1.340078125000000175e-01,1.509999999999999841e-03,1.592500000000000165e-03,1.000000000000005551e+00
1.340603298611111327e-01,1.509999999999999841e-03,1.542083333333333674e-03,1.000000000000003553e+00
1.341128472222222479e-01,1.509999999999999841e-03,1.491666666666666748e-03,1.000000000000001332e+00
1.341653645833333630e-01,1.509999999999999841e-03,1.441250000000000257e-03,9.999999999999998890e-01
1.342178819444444782e-01,1.509999999999999841e-03,1.390833333333333765e-03,9.999999999999984457e-01
1.342703993055555933e-01,1.509999999999999841e-03,1.340416666666666839e-03,9.999999999999964473e-01
1.343229166666666807e-01,1.509999999999999841e-03,1.290000000000000348e-03,1.000000000000007105e+00
1.343754340277777959e-01,1.509999999999999841e-03,1.239583333333333422e-03,1.000000000000004441e+00
1.344279513888889110e-01,1.509999999999999841e-03,1.189166666666666931e-03,1.000000000000002442e+00
1.344804687500000262e-01,1.509999999999999841e-03,1.138750000000000439e-03,1.000000000000000888e+00
1.345329861111111414e-01,1.509999999999999841e-03,1.088333333333333514e-03,9.999999999999985567e-01
1.345855034722222565e-01,1.509999999999999841e-03,1.037916666666667022e-03,9.999999999999975575e-01
1.346380208333333717e-01,1.509999999999999841e-03,9.875000000000005301e-04,9.999999999999963363e-01
1.346905381944444868e-01,1.509999999999999841e-03,9.370833333333340384e-04,9.999999999999954481e-01
1.347430555555555742e-01,1.509999999999999841e-03,8.866666666666666793e-04,1.000000000000004441e+00
1.347955729166666894e-01,1.509999999999999841e-03,8.362500000000001876e-04,1.000000000000002665e+00
1.348480902777778045e-01,1.509999999999999841e-03,7.858333333333336959e-04,1.000000000000001332e+00
1.349006076388889197e-01,1.509999999999999841e-03,7.354166666666672042e-04,9.999999999999996669e-01
1.349531250000000349e-01,1.509999999999999841e-03,6.850000000000007125e-04,9.999999999999984457e-01
1.350056423611111500e-01,1.509999999999999841e-03,6.345833333333333534e-04,9.999999999999957812e-01
1.350581597222222374e-01,1.509999999999999841e-03,5.841666666666668617e-04,1.000000000000006439e+00
1.351106770833333526e-01,1.509999999999999841e-03,5.337500000000003700e-04,1.000000000000004441e+00
1.351631944444444677e-01,1.509999999999999841e-03,4.833333333333338783e-04,1.000000000000002665e+00
1.352157118055555829e-01,1.509999999999999841e-03,4.329166666666673866e-04,1.000000000000001110e+00
1.352682291666666980e-01,1.509999999999999841e-03,3.825000000000000275e-04,9.999999999999980016e-01
1.353207465277778132e-01,1.509999999999999841e-03,3.320833333333335358e-04,9.999999999999967804e-01
1.353732638888889284e-01,1.509999999999999841e-03,2.816666666666670440e-04,9.999999999999958922e-01
1.354257812500000158e-01,1.509999999999999841e-03,2.312500000000005523e-04,1.000000000000006661e+00
1.354782986111111309e-01,1.509999999999999841e-03,1.808333333333340606e-04,1.000000000000004663e+00
1.355308159722222461e-01,1.509999999999999841e-03,1.304166666666667015e-04,1.000000000000001110e+00
1.355833333333333612e-01,1.509999999999999841e-03,8.000000000000000654e-05,9.999999999999991118e-01
1.405833333333333657e-01,1.619999999999999912e-03,8.000000000000000654e-05,6.999999999999999556e-01
1.406358506944444808e-01,1.619999999999999912e-03,1.304166666666666744e-04,6.999999999999999556e-01
1.406883680555555960e-01,1.619999999999999912e-03,1.808333333333333288e-04,6.999999999999999556e-01
1.407408854166667111e-01,1.619999999999999912e-03,2.312500000000000102e-04,6.999999999999999556e-01
1.407934027777777986e-01,1.619999999999999912e-03,2.816666666666666646e-04,6.999999999999999556e-01
